Date,Destination,Miles,Hours,Minutes,Duration,Speed
6/15/16,Citibike to Work,1.04,,9,0.15,6.93
6/17/16,Citibike to Work,1.20,,13,0.22,5.54
6/17/18,Work to Village,4.69,,40,0.67,7.04
6/21/16,Citibike to Work,1.12,,10,0.17,6.72
6/21/16,Citibike from Work,0.78,,7,0.12,6.69
6/22/16,Citibike to Work,1.45,,10,0.17,8.70
6/23/16,Citibike to Work,1.27,,10,0.17,7.62
6/24/16,Citibike to Work,1.21,,10,0.17,7.26
6/24/16,Work to W 4th,3.63,,27,0.45,8.07
6/26/16,To SOHO,3.33,,30,0.50,6.66
6/27/16,Citibike to Work,1.08,,11,0.18,5.89
6/27/16,Citibike from Work,0.93,,7,0.12,7.97
6/29/16,Citibike to Work,1.16,,10,0.17,6.96
6/30/16,Citibike from Work,1.11,,10,0.17,6.66
7/1/16,Citibike to Work,1.20,,10,0.17,7.20
7/1/16,Citibike from Work,0.83,,7,0.12,7.11
7/6/16,Citibike to Work,1.20,,10,0.17,7.20
7/8/16,Citibike to Work,1.16,,10,0.17,6.96
7/11/16,Citibike to Work,1.46,,10,0.17,8.76
7/11/16,Citibike from Work,1.73,,17,0.28,6.11
7/13/16,Citibike to Work,1.45,,10,0.17,8.70
7/14/16,Citibike to Work,1.32,,11,0.18,7.20
7/14/16,Citibike from Work,1.07,,8,0.13,8.03
7/27/16,Citibike to Work,1.24,,11,0.18,6.76
7/28/16,Citibike to Work,1.05,,8,0.13,7.88
7/28/16,Citibike from Work,0.91,,7,0.12,7.80
7/29/16,Citibike to Work,1.05,,12,0.20,5.25
8/2/16,Citibike to Work,1.29,,11,0.18,7.04
8/2/16,Citibike to Work Midday,1.03,,13,0.22,4.75
8/2/16,Citibike from Work,0.98,,8,0.13,7.35
8/3/16,Citibike to Work,1.53,,11,0.18,8.35
8/3/16,Citibike from Work,0.83,,7,0.12,7.11
8/4/16,Citibike to Work,1.40,,11,0.18,7.64
8/4/16,Citibike from Work,1.01,,8,0.13,7.58
8/5/16,Citibike to Work,1.31,,10,0.17,7.86
8/5/16,Work to Lupe's,3.89,,24,0.40,9.73
8/8/16,Citibike to Work,1.25,,10,0.17,7.50
8/8/16,Citibike from Work,0.95,,8,0.13,7.13
8/9/16,Citibike to Work,1.31,,11,0.18,7.15
8/16/16,Citibike to Work,1.12,,12,0.20,5.60
8/16/16,Citibike from Work,1.11,,10,0.17,6.66
8/17/16,Citibike to Work,1.27,,11,0.18,6.93
8/17/16,Citibike from Work,0.96,,10,0.17,5.76
8/18/16,Citibike to Work,1.31,,11,0.18,7.15
8/18/16,Citibike from Work,0.79,,6,0.10,7.90
8/19/16,Citibike to Work,1.16,,10,0.17,6.96
8/19/16,Citibike from Work,1.24,,7,0.12,10.63
8/23/16,Citibike to Work,1.46,,15,0.25,5.84
8/24/16,Citibike to Work,1.48,,13,0.22,6.83
8/24/16,Citibike from Work,0.83,,8,0.13,6.23
8/25/16,Citibike to Work,1.18,,10,0.17,7.08
9/2/16,Citibike to Work,1.27,,9,0.15,8.47
9/3/16,Essex Market,3.38,,28,0.47,7.24
9/6/16,Citibike to Work,1.13,,11,0.18,6.16
9/6/16,Citibike from Work,0.91,,10,0.17,5.46
9/8/16,Citibike to Work,1.05,,11,0.18,5.73
9/9/16,Citibike to Work,1.11,,11,0.18,6.05
9/9/16,Citibike from Work,0.96,,7,0.12,8.23
9/12/16,Citibike to Work,1.15,,11,0.18,6.27
9/12/16,Citibike from Work,1.04,,7,0.12,8.91
9/14/16,Citibike to Work,1.09,,11,0.18,5.95
9/15/16,Citibike to Work,1.30,,10,0.17,7.80
9/15/16,Citibike from Work,0.82,,7,0.12,7.03
9/16/16,Citibike from Work Midday,0.74,,6,0.10,7.40
9/16/16,Citibike to Work Midday,1.09,,13,0.22,5.03
9/16/16,Citibike from Work,1.01,,7,0.12,8.66
9/20/16,Citibike to Work,1.09,,12,0.20,5.45
9/20/16,Citibike from Work Midday,0.90,,12,0.20,4.50
9/20/16,Citibike to Work Midday,1.30,,10,0.17,7.80
9/22/16,Citibike to Work,1.05,,11,0.18,5.73
9/22/16,Work to Westside,4.26,,29,0.48,8.81
9/23/16,Citibike to Work,1.10,,11,0.18,6.00
9/23/16,Citibike from Work,1.20,,7,0.12,10.29
10/3/16,Citibike to Work,1.31,,10,0.17,7.86
10/4/16,Citibike to Work,1.36,,11,0.18,7.42
10/4/16,Citibike from Work,0.82,,7,0.12,7.03
10/5/16,Citibike to Work Midday,1.16,,13,0.22,5.35
10/5/16,Citibike from Work,0.88,,8,0.13,6.60
10/6/16,Citibike to Work,1.27,,10,0.17,7.62
10/6/16,Citibike from Work,0.94,,7,0.12,8.06
10/7/16,Citibike to Work,1.22,,12,0.20,6.10
10/10/16,Citibike to Work,2.30,,19,0.32,7.26
10/11/16,Citibike to Work,1.33,,11,0.18,7.25
10/11/16,Citibike from Work,0.82,,8,0.13,6.15
10/12/16,Citibike to Work,1.49,,10,0.17,8.94
10/12/16,Citibike from Work,0.84,,7,0.12,7.20
10/13/16,Citibike to Work,1.16,,9,0.15,7.73
10/13/16,Work to 68th St.,1.29,,10,0.17,7.74
10/17/16,Citibike to Work,1.19,,10,0.17,7.14
10/17/16,Work to Orwasher's,2.09,,18,0.30,6.97
10/17/16,From Orwasher's,1.56,,12,0.20,7.80
10/18/16,Citibike to Work,1.23,,10,0.17,7.38
10/18/16,Citibike from Work,0.92,,9,0.15,6.13
10/19/16,Citibike to Work,1.53,,10,0.17,9.18
10/20/16,Citibike to Work,1.15,,9,0.15,7.67
10/20/16,Citibike from Work,0.89,,6,0.10,8.90
10/21/16,Citibike to Work,1.15,,9,0.15,7.67
10/21/16,Citibike from Work,3.51,,26,0.43,8.10
10/24/16,Citibike to Work,1.39,,9,0.15,9.27
10/24/16,Citibike from Work,1.75,,16,0.27,6.56
10/25/16,Citibike to Work,1.46,,10,0.17,8.76
10/25/16,Citibike from Work,0.82,,7,0.12,7.03
11/4/16,Citibike to Work,1.12,,10,0.17,6.72
11/4/16,Citibike from Work Midday,0.86,,9,0.15,5.73
11/4/16,Citibike to Work Midday,1.23,,13,0.22,5.68
11/11/16,Citibike to Work,1.30,,11,0.18,7.09
11/11/16,Citibike from Work,1.00,,10,0.17,6.00
11/12/16,To Essex Market,3.43,,29,0.48,7.10
11/14/16,Citibike to Work,1.22,,11,0.18,6.65
11/14/16,Citibike from Work,0.82,,7,0.12,7.03
11/16/16,Citibike to Work,1.08,,11,0.18,5.89
11/16/16,Citibike from Work,1.72,,15,0.25,6.88
