Date,Destination,Miles,Hours,Minutes,Duration,Speed
5/28/16,CP BL,7.99,,50,0.83,9.59
6/19/16,Down ES Up ES,13.98,1,51,1.85,7.56
7/3/16,Down ES UP WS,17.84,2,10,2.17,8.23
7/10/16,Down ES UP WS,18.38,2,20,2.33,7.88
7/16/16,Down ES UP WS,17.99,2,5,2.08,8.64
7/17/16,Down ES UP WS,17.67,2,5,2.08,8.48
8/6/16,Summer Streets,13.91,1,54,1.90,7.32
8/7/16,Down ES UP WS,16.89,1,57,1.95,8.66
8/20/16,Summer Streets Up WS,17.46,2,21,2.35,7.43
9/3/16,Down ES UP WS,16.72,1,52,1.87,8.96
9/4/16,Down ES UP WS,16.70,1,56,1.93,8.64
9/10/16,Down ES UP WS,20.41,2,26,2.43,8.39
9/17/16,Down ES UP WS,17.25,1,49,1.82,9.50
11/19/16,Down ES UP WS,16.10,1,56,1.93,8.33
12/3/16,Down ES UP WS,16.08,2,2,2.03,7.91
8/19/17,Summer Streets,10.08,1,14,1.23,8.17
8/27/17,CP BL,6.75,,43,0.72,9.42
10/7/17,CP BL,7.41,,52,0.87,8.55
7/8/18,CP BL,7.04,,47,0.78,8.99
8/3/18,CP BL,6.75,,47,0.78,8.62
8/4/18,Summer Streets,11.55,1,25,1.42,8.15
8/18/18,Summer Streets,11.25,1,24,1.40,8.04
8/28/18,CP BL,6.78,,43,0.72,9.46
10/2/18,Down ES UP WS,15.97,2,18,2.30,6.94
10/8/18,CP BL,7.55,,52,0.87,8.71
10/12/18,CP BL,6.77,,58,0.97,7.00
10/17/18,CP BL,6.80,,49,0.82,8.33
10/19/18,CP BL,7.44,,52,0.87,8.58
10/25/18,CP ML,5.93,,36,0.60,9.88
4/25/19,CP BL,7.46,,54,0.90,8.29
5/24/19,CP BL,6.79,,47,0.78,8.67
6/1/19,Down ES UP WS,16.91,2,30,2.50,6.76
6/7/19,CP BL,7.47,,54,0.90,8.30
6/12/19,CP BL,6.80,,47,0.78,8.68
6/22/19,Down ES UP WS,16.23,2,28,2.47,6.58
6/23/19,Up ES Down WS,20.76,2,58,2.97,7.00
6/26/19,CP BL x 2,12.93,1,30,1.50,8.62
6/30/19,CP BL,6.79,,42,0.70,9.70
7/5/19,CP BL,6.76,,52,0.87,7.80
7/6/19,Down ES Up WS,16.12,2,12,2.20,7.33
7/11/19,Up ES Down WS,19.47,3,9,3.15,6.18
7/15/19,Up Down ES,3.74,,33,0.55,6.80
7/24/19,Down ES Up WS,16.29,2,36,2.60,6.27
7/27/19,Wards Island,11.01,1,41,1.68,6.54
7/28/19,Roosevelt Island,4.25,,39,0.65,6.54
8/4/19,Down ES Up WS,16.79,2,2,2.03,8.26
8/5/19,Up ES Up UWS,14.22,1,33,1.55,9.17
8/6/19,CP BL Up Down WS,15.00,1,46,1.77,8.49
8/9/19,Down ES Up WS to GWB,26.64,3,35,3.58,7.43
8/10/19,Summer Streets,12.85,1,29,1.48,8.66
8/12/19,CP BL,6.79,,48,0.80,8.49
8/26/19,Down ES Up UWS,21.90,2,55,2.92,7.51
8/27/19,CP BL x 2,13.66,1,49,1.82,7.52
8/29/19,Wards Island,11.05,1,32,1.53,7.21
8/30/19,CP BL x 2,13.70,1,59,1.98,6.91
8/31/19,Up UWS Down WS Up ES,21.56,2,25,2.42,8.92
9/2/19,Roosevelt Island,5.87,,57,0.95,6.18
9/3/19,CP BL,7.53,,51,0.85,8.86
9/4/19,Down ES Up UWS,21.96,2,46,2.77,7.94
9/6/19,CP BL,7.44,,57,0.95,7.83
9/8/19,Wards Island,11.43,1,32,1.53,7.45
9/11/19,CP BL,7.53,1,,1.00,7.53
9/14/19,Wards Island,13.27,1,40,1.67,7.96
9/15/19,Roosevelt Island,6.24,1,6,1.10,5.67
9/17/19,CP BL,7.31,,59,0.98,7.43
9/19/19,Wards Island,12.38,1,32,1.53,8.07
9/20/19,CP BL,7.53,,51,0.85,8.86
9/23/19,CP BL,7.48,,57,0.95,7.87
9/24/19,CP BL,7.46,,48,0.80,9.33
9/27/19,Wards Island,13.24,1,39,1.65,8.02
9/28/19,Down ES Up WS,16.16,1,35,1.58,10.21
9/29/19,Wards Island,14.66,1,48,1.80,8.14
9/30/19,CP BL x 2,13.60,1,44,1.73,7.85
10/1/19,CP BL,7.43,1,6,1.10,6.75
10/13/19,Down ES Up UWS,21.72,2,52,2.87,7.58
10/15/19,Wards Island,14.20,1,44,1.73,8.19
10/28/19,Up Down WS,10.88,1,25,1.42,7.68
11/2/19,Wards Island,14.20,2,9,2.15,6.60
11/6/19,Down ES UP WS,16.63,2,,2.00,8.32
11/11/19,Wards Island,14.57,1,53,1.88,7.74
11/25/19,Wards Island,12.40,1,39,1.65,7.52
11/26/19,Roosevelt Island,5.51,1,5,1.08,5.09
11/27/19,Wards Island,9.93,1,27,1.45,6.85
11/28/19,Down ES up ES,14.54,1,48,1.80,8.08
2/24/20,Wards Island,11.66,1,33,1.55,7.52
3/9/20,Wards Island,11.11,1,20,1.33,8.33
3/11/20,Down ES UP WS,17.08,2,8,2.13,8.01
3/22/20,Wards Island,10.92,1,22,1.37,7.99
3/24/20,CP BL,7.40,,48,0.80,9.25
3/26/20,CP BL x 2,13.52,1,28,1.47,9.22
4/2/20,CP BL,7.73,,55,0.92,8.43
4/5/20,CP BL,7.77,,48,0.80,9.71
4/6/20,CP BL,8.88,1,17,1.28,6.92
4/7/20,CP BL x 2,13.98,1,43,1.72,8.14
4/12/20,CP BL x 2,13.81,1,48,1.80,7.67
4/14/20,CP BL x 3,19.93,2,6,2.10,9.49
4/16/20,CP BL,7.81,,48,0.80,9.76
4/19/20,CP BL,7.77,,49,0.82,9.51
4/28/20,CP BL,7.81,,50,0.83,9.37
5/2/20,Wards Island,12.64,1,44,1.73,7.29
5/5/20,CP BL,7.83,,50,0.83,9.40
5/7/20,CP BL x 2,13.86,1,32,1.53,9.04
5/13/20,CP BL x 2,13.82,1,32,1.53,9.01
5/17/20,CP BL,7.71,,48,0.80,9.64
5/19/20,Wards Island,12.01,1,48,1.80,6.67
5/24/20,CP BL,7.71,,49,0.82,9.44
5/25/20,Uptown Trio,4.27,,34,0.57,7.54
5/25/20,Downtown Trio,4.77,,59,0.98,4.85
5/26/20,Down Up LWS,13.35,1,30,1.50,8.90
5/27/20,Up Down WS to GWB,17.13,2,5,2.08,8.22
6/2/20,From Astoria,5.38,,52,0.87,6.21
6/2/20,To Astoria,5.09,,40,0.67,7.64
6/3/20,To From Economy Candy,8.08,1,10,1.17,6.93
6/4/20,Down Up LWS,14.52,1,54,1.90,7.64
6/6/20,CP BL,6.14,,37,0.62,9.96
6/7/20,To From Astoria,8.25,2,1,2.02,4.09
6/9/20,CP BL x 2,13.51,1,24,1.40,9.65
6/10/20,UWS to Inwood,22.06,2,58,2.97,7.44
6/14/20,Down Up LWS,13.63,1,29,1.48,9.19
6/15/20,Up Down WS to GWB,17.09,1,54,1.90,8.99
6/16/20,Down WS Up WS to GWB,26.63,3,8,3.13,8.50
6/18/20,Wards Island,11.93,1,38,1.63,7.30
6/21/20,Down Up Trio (Partial),14.20,2,32,2.53,5.61
6/22/20,West Side Errand,5.19,,42,0.70,7.41
6/22/20,Wards Island,11.57,1,30,1.50,7.71
6/23/20,UWS Thru CP to GWB+,22.42,2,54,2.90,7.73
6/25/20,Down Up LWS,14.57,2,11,2.18,6.67
6/27/20,Wards Island,13.80,1,49,1.82,7.60
6/28/20,Uptown Trio,3.95,,26,0.43,9.12
6/28/20,Downtown Trio,4.10,,34,0.57,7.24
6/29/20,Wards Island,11.71,1,52,1.87,6.27
6/30/20,Down Up LWS,14.95,1,48,1.80,8.31
7/3/20,Wards Island,12.98,1,46,1.77,7.35
7/5/20,UWS to GWB Down Thru CP,17.63,1,56,1.93,9.12
