Date,Destination,Miles,Hours,Minutes,Duration,Speed,Type
10/17/16,Work to Orwasher's,2.09,,18.0,0.3,6.97,Citibike
10/13/19,Down ES Up UWS,21.72,2.0,52.0,2.87,7.58,Specialized
9/14/16,Citibike to Work,1.09,,11.0,0.18,5.95,Citibike
8/12/19,CP BL,6.79,,48.0,0.8,8.49,Specialized
8/3/20,To Kalustiyans,1.96,,16.0,0.27,7.35,Citibike
11/16/20,Up Dn UWS,9.55,1.0,10.0,1.17,8.19,Specialized
9/28/20,Wards Island x 2,17.69,2.0,1.0,2.02,8.77,Specialized
6/26/16,To SOHO,3.33,,30.0,0.5,6.66,Citibike
8/6/16,Summer Streets,13.91,1.0,54.0,1.9,7.32,Specialized
9/20/19,CP BL,7.53,,51.0,0.85,8.86,Specialized
9/12/16,Citibike to Work,1.15,,11.0,0.18,6.27,Citibike
9/2/19,Roosevelt Island,5.87,,57.0,0.95,6.18,Specialized
3/20/20,To Despana,3.5,,30.0,0.5,7.0,Citibike
9/3/20,Up WS to GWB Up ES,28.49,3.0,7.0,3.12,9.14,Specialized
8/9/20,Down ES Up LWS,15.04,1.0,42.0,1.7,8.85,Specialized
9/4/16,Down ES UP WS,16.7,1.0,56.0,1.93,8.64,Specialized
10/19/20,Wards Island x 2,18.06,2.0,14.0,2.23,8.09,Specialized
6/22/20,Wards Island,11.57,1.0,30.0,1.5,7.71,Specialized
7/6/16,Citibike to Work,1.2,,10.0,0.17,7.2,Citibike
7/17/16,Down ES UP WS,17.67,2.0,5.0,2.08,8.48,Specialized
10/17/16,Citibike to Work,1.19,,10.0,0.17,7.14,Citibike
10/12/16,Citibike to Work,1.49,,10.0,0.17,8.94,Citibike
4/25/19,CP BL,7.46,,54.0,0.9,8.29,Specialized
3/26/20,CP BL x 2,13.52,1.0,28.0,1.47,9.22,Specialized
3/12/20,To Essex Market,3.85,,35.0,0.58,6.6,Citibike
8/20/16,Summer Streets Up WS,17.46,2.0,21.0,2.35,7.43,Specialized
9/25/20,To Fairway ES,1.56,,14.0,0.23,6.69,Citibike
